ID,Category,Title,Location,guests,bedrooms,bathrooms,Review_Count,Overall Rate,Price (Night),amenities_count,url,Accuracy_rate,Check-in_rate,Cleanliness_rate,Communication_rate,Location_rate,Value_rate,beds
1000.0,Tiny homes,Lushna 1 Mezzanine at Lee Wick Farm Cottages & Glamping,St. Osyth United Kingdom,5,1,1,2,,143,20.0,https://www.airbnb.co.uk/rooms/38547967?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-12-13&check_out=2021-12-20&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,,,,,,,
1001.0,Tiny homes,Luxury off-grid waterside glamping pod on a farm,Bragenham England United Kingdom,2,1,1,29,4.93,120,32.0,https://www.airbnb.co.uk/rooms/49495268?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-12-05&check_out=2021-12-12&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,5.0,4.9,5.0,4.9,4.8,1
1002.0,Tiny homes,Luxury Kabin Surrounded by Nature + Outdoor Bath!,East Meon England United Kingdom,2,1,1,15,5.0,166,16.0,https://www.airbnb.co.uk/rooms/45885953?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,4.9,5.0,5.0,4.9,1
1003.0,Tiny homes,Wagon and the Wigwam hot tub!,Medstead England United Kingdom,2,,1.5,143,4.97,160,19.0,https://www.airbnb.co.uk/rooms/23214226?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-03-04&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,4.9,4.9,5.0,4.9,4.8,1
1004.0,Tiny homes,Little Country Houses - Poppy's Pad,Mickleton England United Kingdom,4,1,1,154,4.90,131,16.0,https://www.airbnb.co.uk/rooms/20669368?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,4.9,4.8,5.0,4.9,4.7,1
1005.0,Tiny homes,Luxury Garden Studio Apartment,Silverstone England United Kingdom,2,1,1,105,4.84,214,25.0,https://www.airbnb.co.uk/rooms/36436971?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-28&check_out=2021-12-05&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.8,4.9,4.7,5.0,4.9,4.5,1
1006.0,Tiny homes,Private Lodge in the New Forest - Sandy Balls 192,Hampshire England United Kingdom,8,3,2,20,4.95,225,51.0,https://www.airbnb.co.uk/rooms/42973975?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-01-03&check_out=2022-01-10&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.8,5.0,4.7,5.0,5.0,4.7,6
1007.0,Tiny homes,Little Country Houses - DJ's Digs,Mickleton England United Kingdom,4,1,1,138,4.96,145,14.0,https://www.airbnb.co.uk/rooms/25798964?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-12-13&check_out=2021-12-20&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,5.0,4.9,5.0,4.9,4.7,1
1008.0,Tiny homes,Magical Treehouse/Cabin hidden in Ancient Woodland,Surrey England United Kingdom,2,1,1,34,4.68,96,37.0,https://www.airbnb.co.uk/rooms/45936650?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-01-03&check_out=2022-01-10&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,5.0,4.8,5.0,4.9,4.7,1
1009.0,Tiny homes,Cosy Wood Cabin nr Petworth,West Sussex England United Kingdom,2,1,1,120,4.99,75,23.0,https://www.airbnb.co.uk/rooms/34223271?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-02-25&check_out=2022-03-04&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,5.0,5.0,5.0,4.9,1
