ID,Category,Title,Location,guests,Review_Count,Overall Rate,Price (Night),Cleanliness_rate,Accuracy_rate,Communication_rate,Location_rate,Check-in_rate,Value_rate,amenities_count,url
1000.0,Barns,Walnut Studio for 2 guests,West Sussex England United Kingdom,2,8,4.88,156,5.0,4.8,5.0,4.5,4.9,4.4,57.0,https://www.airbnb.co.uk/rooms/48115953?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-11-19&check_out=2021-11-26&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1001.0,Barns,Gorgeous Waterside Eco-Barn,Ringmer United Kingdom,2,84,4.96,120,4.9,5.0,5.0,4.9,5.0,4.9,57.0,https://www.airbnb.co.uk/rooms/2299498?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-12-10&check_out=2021-12-17&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1002.0,Barns,Exclusive country retreat just outside of  London,Epping England United Kingdom,2,51,5.0,106,5.0,5.0,5.0,5.0,5.0,4.9,30.0,https://www.airbnb.co.uk/rooms/35367289?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-11-01&check_out=2021-11-08&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1003.0,Barns,Balcombe Barn,West Sussex England United Kingdom,2,62,5.0,89,4.9,5.0,5.0,5.0,4.9,4.9,25.0,https://www.airbnb.co.uk/rooms/18454557?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2022-01-01&check_out=2022-01-08&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1004.0,Barns,"Entire Barn, The Old Bakery,Henley Hill, Fernhurst",Haslemere England United Kingdom,4,241,4.93,136,5.0,4.9,5.0,4.9,5.0,4.9,55.0,https://www.airbnb.co.uk/rooms/24415592?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-11-28&check_out=2021-12-05&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1005.0,Barns,"Red Kite Barn, a luxury romantic getaway, hot tub",West Sussex England United Kingdom,2,37,5.0,167,5.0,5.0,5.0,5.0,5.0,5.0,49.0,https://www.airbnb.co.uk/rooms/49464159?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-12-31&check_out=2022-01-07&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1006.0,Barns,Beautiful Barn nr Haslemere in a gorgeous setting,Haslemere  England United Kingdom,7,456,4.97,117,5.0,5.0,5.0,4.9,5.0,4.9,54.0,https://www.airbnb.co.uk/rooms/15527086?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2022-01-02&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1007.0,Barns,"Studio Barn Conversion, garden and gated parking",Essendon England United Kingdom,2,26,4.92,56,5.0,4.9,5.0,5.0,5.0,4.9,28.0,https://www.airbnb.co.uk/rooms/50417849?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-12-04&check_out=2021-12-11&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1008.0,Barns,The New Barn,Surrey England United Kingdom,2,141,4.70,73,4.7,4.8,4.9,4.8,4.9,4.8,22.0,https://www.airbnb.co.uk/rooms/21910453?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-11-21&check_out=2021-11-28&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1009.0,Barns,"Peaceful, cosy detached barn in the Surrey Hills.",Holmbury Saint Mary England United Kingdom,2,85,4.96,92,5.0,5.0,5.0,5.0,5.0,4.9,31.0,https://www.airbnb.co.uk/rooms/41335433?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-12-06&check_out=2021-12-13&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
