ID,Category,Title,Location,guests,bedrooms,beds,bathrooms,Review_Count,Overall_Rate,Price_Night,Cleanliness_rate,Accuracy_rate,Communication_rate,Location_rate,Check-in_rate,Value_rate,amenities_count,url
1000.0,Offbeat,Logement atypique Design 1H de PARIS en CHAMPAGNE,Villenauxe-la-Grande Grand Est France,2.0,1.0,1.0,1.0,8.0,5.0,185.0,5.0,4.9,5.0,4.9,5.0,4.9,14.0,https://www.airbnb.co.uk/rooms/49589867?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-02-07&check_out=2022-02-14&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1001.0,Offbeat,Cabane Drommen - L'Arbre à Cabane,Guyonvelle Grand Est France,2.0,1.0,1.0,0.0,14.0,4.71,68.0,4.6,4.9,4.6,4.9,5.0,4.8,6.0,https://www.airbnb.co.uk/rooms/24598097?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-01-16&check_out=2022-01-23&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1002.0,Offbeat,"Luxe suite met uitzicht op de Waddenzee, Harlingen",Harlingen Friesland Netherlands,2.0,1.0,1.0,1.0,24.0,4.96,236.0,5.0,5.0,5.0,5.0,5.0,4.7,18.0,https://www.airbnb.co.uk/rooms/42850678?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-02-06&check_out=2022-02-13&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1003.0,Offbeat,The Pink House,Tiptree Essex United Kingdom,16.0,6.0,15.0,6.5,10.0,4.89,2400.0,4.8,4.9,4.9,4.5,5.0,4.2,43.0,https://www.airbnb.co.uk/rooms/244617?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2021-12-20&check_out=2021-12-27&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1004.0,Offbeat,SWEETS hotel Meeuwenpleinbrug,Amsterdam Noord-Holland Netherlands,2.0,1.0,1.0,,20.0,4.45,130.0,4.7,4.7,4.5,4.5,4.8,4.3,20.0,https://www.airbnb.co.uk/rooms/32559296?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2021-12-05&check_out=2021-12-12&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1005.0,Offbeat,Unique stay at Amsterdam The Crane by YAYS,Amsterdam Netherlands,2.0,1.0,1.0,1.0,3.0,4.33,233.0,4.7,4.7,4.7,4.7,3.7,4.7,27.0,https://www.airbnb.co.uk/rooms/28970533?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2021-12-19&check_out=2021-12-26&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1006.0,Offbeat,The original Spice Bus from 1997 movie Spice World,Isle of Wight England United Kingdom,3.0,1.0,2.0,1.0,152.0,4.86,226.0,4.8,4.9,4.9,4.9,4.9,4.6,30.0,https://www.airbnb.co.uk/rooms/36329897?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-02-27&check_out=2022-03-06&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1007.0,Offbeat,Logement Insolite de Luxe en Champagne 1H de PARIS,Villenauxe-la-Grande Grand Est France,2.0,1.0,1.0,1.0,3.0,5.0,184.0,5.0,5.0,5.0,5.0,5.0,4.7,12.0,https://www.airbnb.co.uk/rooms/49590189?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-02-07&check_out=2022-02-14&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1008.0,Offbeat,"Prachtige villa architect, grote tuin,  6 personen",Breda Noord-Brabant Netherlands,6.0,3.0,3.0,1.5,68.0,4.93,184.0,4.9,4.9,5.0,4.7,4.9,4.9,57.0,https://www.airbnb.co.uk/rooms/8188851?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2022-02-04&check_out=2022-02-11&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
1009.0,Offbeat,Cow Shed: Daisy at Easton Farm Park,Woodbridge United Kingdom,4.0,1.0,,0.0,12.0,4.75,95.0,4.9,4.8,4.9,5.0,4.9,4.6,12.0,https://www.airbnb.co.uk/rooms/29029067?category_tag=Tag%3A8225&adults=1&children=0&infants=0&check_in=2021-11-14&check_out=2021-11-21&previous_page_section_name=1000&federated_search_id=6dd62294-2932-4a45-a7a7-a7a3fbdaef99
